"Country_Label","Country_Alpha3","Products","HS4","StartingDate","EndDate","Year","Category","Description","Source","Source2","ProtectedCountries","Share_of_exports_Kcal","Share_of_exports_USD","Share_in_World_Kcal","Share_in_World_USD","Share_in_World_Total_Kcal","Share_in_World_Total_USD"
"Russia","RUS","Wheat, meslin, rye, barley, maize, sugar","1001;1002;1003;1004;1005","2022-03-14 00:00:00","2022-06-30 00:00:00",2022,"Ban","Russia will temporarily ban cereal and sugar exports due to international sanctions and to protect the internal market, after the signing of the decrees on Monday by Prime Minister Mikhail Mishustin. The Executive of Vladimir Putin thus imposes a temporary ban on grain exports to the countries of the Eurasian Economic Union (EAEU) until June 30 and on exports of unrefined cane sugar outside the EAEU until August 31, according to a note from the government press service released by the Interfax agency","https://www.forbes.com.mx/gobierno-de-rusia-prohibe-las-exportaciones-de-cereales-y-azucar/","https://www.reuters.com/business/russia-may-suspend-grain-exports-until-june-30-interfax-2022-03-14/",,0.724288649,0.5156823977,0.1340699071,0.1310839047,0.03944622096,0.009745141446
"Russia","RUS","Sugar",1701,"2022-03-14 00:00:00","2022-08-31 00:00:00",2022,"Ban","Russia will temporarily ban cereal and sugar exports due to international sanctions and to protect the internal market, after the signing of the decrees on Monday by Prime Minister Mikhail Mishustin. The Executive of Vladimir Putin thus imposes a temporary ban on grain exports to the countries of the Eurasian Economic Union (EAEU) until June 30 and on exports of unrefined cane sugar outside the EAEU until August 31, according to a note from the government press service released by the Interfax agency","https://www.forbes.com.mx/gobierno-de-rusia-prohibe-las-exportaciones-de-cereales-y-azucar/","https://www.reuters.com/business/russia-may-suspend-grain-exports-until-june-30-interfax-2022-03-14/","ARM;BLR;KGZ;KAZ;RUS",0.003766654202,0.005326192196,0.003455686039,0.003608430457,0.0002051395865,0.0001006520613
"Argentina","ARG","Soy flour, soybean oil","1208;1507","2022-03-13 00:00:00","2022-03-20 00:00:00",2022,"Ban","Argentina has halted registration of export sales of soy oil and meal, the South American country's government said in a statement on Sunday, drawing swift condemnation from the industry in the world's top exporter of processed soy products.","https://www.reuters.com/world/americas/argentina-halts-export-registration-soy-oil-meal-2022-03-14/","https://gro-intelligence.com/insights/argentina-s-freeze-on-soy-oil-exports-deals-blow-to-global-vegetable-oil-supplies",,0.1189092109,0.1103922157,0.4130239629,0.3990729002,0.009591852199,0.003889444039
"Kyrgyzstan","KGZ","Wheat, meslin, flour, vegetable butter, sugar, sunflower seed, eggs, barley, oats","1001;1101;1701;1206;0407;1517;1003;1004","2022-03-19 00:00:00","2022-09-19 00:00:00",2022,"Ban","The Cabinet of Ministers of Kyrgyzstan introduced a ban on the export of certain types of agricultural products. The decision was made in order to ensure the country's food security and stabilize food prices.","https://rus.azattyk.org/a/31764385.html","https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=q:/G/MAQRN/KGZ1A16.pdf&Open=True","ARM;BLR;KGZ;KAZ;RUS",0.05846700025,0.01289420083,0.00002402077529,0.00002414926555,0.000006139201355,0.000002054217028
"Azerbaijan","AZE","flour-grinding industry goods, starch, wheat gluten, oilseeds and other seeds, medicinal and industrial crops, feed","1001;1002;1003;1004;1005;1006;1201;1202;1203;1204;1205;1206;1207","2022-03-19 00:00:00","2022-12-31 00:00:00",2022,"Licensing","The temporary regulation of the grain export through the customs territory of Azerbaijan is introduced until December 31, 2022, under the resolution of the Cabinet of Ministers ""On measures to regulate the export from the country of a number of basic food products that are part of the minimum consumer basket and goods used in their production""","https://www.azernews.az/nation/190963.html",,,0.0858978481,0.00982309938,0.00004570095163,0.00003435893173,0.00002215832641,0.00000598208598
"Lebanon","LBN","processed fruits and vegetables, milled grain products, sugar, bread","1001;1005;1101;1102;1103;1104;1701;1702;1703;1704","2022-03-18 00:00:00","2022-12-31 00:00:00",2022,"Ban","Lebanon's trade ministry has banned the export of some locally-produced foods, the state news agency reported on Friday. The export ban includes over 20 food items, such as processed fruits and vegetables, milled grain products, sugar, bread, and some types of alcohol.. The export ban includes items such as processed fruits and vegetables, milled grain products, sugar, bread","https://english.alaraby.co.uk/news/lebanon-bans-export-some-locally-produced-foods",,,0.3164145048,0.08187147132,0.0002975041519,0.0006216048109,0.0001050546596,0.0000715668681
"Kuwait","KWT","Grains, Vegetable oils","1001;1005;1101;1102;1103;1104;1507;1508;1509;1510;1511;1512;1513;1514;1515;0708;1902","2022-03-20 00:00:00","2022-12-31 00:00:00",2022,"Ban","Kuwaiti Minister of Commerce and Industry, Fahd Al-Shariaan, confirmed on Sunday that his country has suspended the export of vegetable oils and all kinds of grains for a period of 3 months, due to the shortage of supplies caused by the Ukrainian-Russian crisi","https://www.skynewsarabia.com/business/1509320-%D8%A7%D9%84%D9%83%D9%88%D9%8A%D8%AA-%D8%AA%D8%AD%D8%B8%D8%B1-%D8%AA%D8%B5%D8%AF%D9%8A%D8%B1-%D8%A7%D9%84%D8%B2%D9%8A%D9%88%D8%AA-%D8%A7%D9%84%D9%86%D8%A8%D8%A7%D8%AA%D9%8A%D8%A9-%D9%88%D8%A7%D9%84%D8%AD%D8%A8%D9%88%D8%A8",,,0.2859972927,0.132041394,0.0002120149467,0.0005046672115,0.00009590625332,0.00007432403568
"Kuwait","KWT","Chicken meat",207,"2022-03-23 00:00:00","2022-12-31 00:00:00",2022,"Ban","Kuwaiti Commerce Minister Fahad Al-Shariaan said his country intends to ban the export of frozen chicken to maintain price stability.","https://www.agriculture.com/markets/newswire/kuwait-to-ban-exporting-frozen-chicken-to-maintain-price-stability-minister",,,0.005398809695,0.02293895468,0.0002789172225,0.0007792993108,0.000001810435356,0.00001291197885
"Turkey","TUR","Beef meat, sheep meat, goat meat","0201;0202;0204;0206","2022-03-19 00:00:00","2022-12-31 00:00:00",2022,"Ban","Turkey has placed a quota on the export of red meat, except to three locations abroad, following a recent price hike of nearly 50 percent, Cumhuriyet newspaper reported on Thursday","https://www.cumhuriyet.com.tr/turkiye/kirmizi-et-ihracatina-kisitlama-getirildi-1919088","https://www.resmigazete.gov.tr/eskiler/2022/03/20220304-5.htm","AZE",0.0001305134773,0.0007633055243,0.0002167282403,0.0002633088152,0.000001380044035,0.00001226208747
"Turkey","TUR","Grains, oilseeds, cooking oil","1001;1002;1003;1004;1005;1006;1204;1205;1206;1207;1507;1508;1509;1510;1511;1512;1513;1514;1515","2022-03-04 00:00:00","2022-12-31 00:00:00",2022,"Licensing","In the last couple weeks, Turkey has imposed temporary export bans on select agricultural products to stabilize local market conditions and keep prices from running higher. The Ministry of Trade recently halted shipments of grains, oilseeds, cooking oil, and a few other agricultural commodities – sourced from third countries – that are currently being held in bonded warehouses at Turkish seaports","https://www.fas.usda.gov/data/turkey-turkey-imposes-temporary-ban-certain-agricultural-exports","https://www.resmigazete.gov.tr/eskiler/2022/03/20220304-5.htm",,0.2010223647,0.08466124975,0.004078259066,0.007720797997,0.002125602054,0.001360036862
"Russia","RUS","Sunflower seeds",1206,"2022-04-01 00:00:00","2022-08-31 00:00:00",2022,"Ban","Russia will ban exports of sunflower seeds from Friday until the end of August and impose an export quota on sunflower oil to avoid shortages and ease pressure on domestic prices, its agriculture ministry said on Thursday.","https://www.reuters.com/business/russia-ban-sunflower-seed-exports-impose-quota-sunoil-2022-03-31/",,,0.003132296745,0.006374455162,0.0864003595,0.05293640769,0.0001705911997,0.0001204616785
"Russia","RUS","Sunflower oil",1512,"2022-04-15 00:00:00","2022-08-31 00:00:00",2022,"Licensing","Russia will ban exports of sunflower seeds from Friday until the end of August and impose an export quota on sunflower oil to avoid shortages and ease pressure on domestic prices, its agriculture ministry said on Thursday.","https://www.reuters.com/business/russia-ban-sunflower-seed-exports-impose-quota-sunoil-2022-03-31/",,,0.07255274212,0.08317918774,0.1708044916,0.1823895841,0.0039513687,0.001571884077
"Belarus","BLR","Rice, wholemeal flour, flour from rye, barley, pasta","1006;1102;1003;1902","2022-03-25 00:00:00","2022-06-15 00:00:00",2022,"Licensing","On March 23, 2022, the Resolution of the Council of Ministers № 147 came into force, which introduced restrictions on the import of goods from Belarus. The ban applies to the export of goods to the EAEU member states (i.e. Russia, Armenia, Kazakhstan, Kyrgyzstan), as well as the export of goods to other countries that are placed under the customs procedures of export, temporary export, processing outside the customs territory and re-export. Ban On The Export Of 254 Goods From Belarus","https://gratanet.com/news/ban-on-the-export-of-254-goods-from-belarus?utm_source=Mondaq&utm_medium=syndication&utm_campaign=LinkedIn-integration","https://korrespondent.net/world/4461632-v-belarusy-vvely-zapret-na-vyvoz-rysa-muky-y-makaron",,0.04630823994,0.004777713042,0.001609654065,0.0005367282278,0.0001062223673,0.00001845412508
"Kyrgyzstan","KGZ","Bovine meat and feed products","0201;0202;1214;2302;1003;1004","2022-03-25 00:00:00","2022-09-19 00:00:00",2022,"Ban","Emergency export restrictions on beef meat and livestock products","https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=q:/G/MAQRN/KGZ1A16.pdf&Open=True",,,0.007091986586,0.003773551637,0.00001945318567,0.00001393540283,7.44678767e-7,6.011767719e-7
"Ukraine","UKR","Poultry, eggs, sunflower oil, bovine meat, rye, maize","1005;0207;0407;1512;0202;1002","2022-03-06 00:00:00","2022-05-10 00:00:00",2022,"Licensing","Ukraine's government has banned the export of wheat, oats and other staples that are crucial for global food supplies as authorities try to ensure they can feed people during Russia's intensifying war","https://abcnews.go.com/International/wireStory/ukraine-bans-exports-wheat-oats-food-staples-83337319","https://docs.wto.org/dol2fe/Pages/SS/directdoc.aspx?filename=q:/G/MAQRN/UKR5A2.pdf&Open=True",,0.4788679099,0.4301592211,0.1701009468,0.1027003946,0.026847791,0.007912761119
"Turkey","TUR","Red Lentils and beans",713,"2022-01-27 00:00:00","2022-12-31 00:00:00",2022,"Ban","Turkey has placed a quota on the export of red meat, except to three locations abroad, following a recent price hike of nearly 50 percent, Cumhuriyet newspaper reported on Thursday","https://www.fas.usda.gov/data/turkey-turkey-imposes-temporary-ban-certain-agricultural-exports","https://www.resmigazete.gov.tr/eskiler/2022/03/20220304-5.htm",,0.02971179464,0.02031215563,0.02065885103,0.02785885098,0.0003141712703,0.000326303716
"Turkey","TUR","Olive Oil",1509,"2022-01-27 00:00:00","2022-07-09 00:00:00",2022,"Ban","Turkey has placed a quota on the export of red meat, except to three locations abroad, following a recent price hike of nearly 50 percent, Cumhuriyet newspaper reported on Thursday","https://www.fas.usda.gov/data/turkey-turkey-imposes-temporary-ban-certain-agricultural-exports","https://www.resmigazete.gov.tr/eskiler/2022/03/20220304-5.htm",,0.008632263593,0.009810101154,0.04254923019,0.03826327398,0.00009127719319,0.0001575939314
"Turkey","TUR","Cooking oils","0405;1507;1516;1512;1514;1515;1517","2022-03-04 00:00:00","2022-12-31 00:00:00",2022,"Ban","Turkey has placed a quota on the export of red meat, except to three locations abroad, following a recent price hike of nearly 50 percent, Cumhuriyet newspaper reported on Thursday","https://www.fas.usda.gov/data/turkey-turkey-imposes-temporary-ban-certain-agricultural-exports","https://www.resmigazete.gov.tr/eskiler/2022/03/20220304-5.htm",,0.1541342551,0.05144048314,0.02252886733,0.02279262479,0.001629809149,0.0008263633418
"Turkey","TUR","Poultry meat, eggs, vegetables, fruits","0207;0407;0701;0702;0703;0707;0708;0709;0710;2001;2004;2005;0713;0805;0807;0808","2022-01-27 00:00:00","2022-12-31 00:00:00",2022,"Licensing","Turkey has placed a quota on the export of red meat, except to three locations abroad, following a recent price hike of nearly 50 percent, Cumhuriyet newspaper reported on Thursday","https://www.fas.usda.gov/data/turkey-turkey-imposes-temporary-ban-certain-agricultural-exports","https://www.resmigazete.gov.tr/eskiler/2022/03/20220304-5.htm",,0.09337121532,0.2193579021,0.02786439279,0.03840917124,0.0009873033147,0.003523865213
"Morocco","MAR","Tomato",702,"2022-03-12 00:00:00","2022-04-30 00:00:00",2022,"Licensing","Morocco slapped curbs on its round tomato exports this month after soaring prices led to domestic protests ahead of Ramadan.","https://medias24.com/2022/03/12/le-maroc-limite-les-exportations-de-tomate-aux-contrats-existants/","https://fr.le360.ma/economie/le-marche-britannique-impacte-par-la-baisse-des-exportations-des-tomates-marocaines-257540",,0.0310913074,0.1661172617,0.1172734517,0.1550173312,0.00003377944309,0.000822039006
"Russia","RUS","Rapeseed",1205,"2022-04-01 00:00:00","2023-02-01 00:00:00",2022,"Ban","The proposal for a quota for the export of oil and meal from the Russian Federation, as well as a ban on the export of sunflower seeds and rapeseed from April 1, 2022, was supported by the subcommittee on customs-tariff and non-tariff regulation, protective measures in foreign trade of the government commission for economic development and integration under the Ministry of Economic Development of the Russian Federation","https://www.1sn.ru/279664.html","https://www.agriculture.com/markets/newswire/russia-to-extend-export-tax-for-soybeans-ban-on-rapeseed-exports",,0.005765603523,0.005227499673,0.01788968878,0.01389854691,0.0003140063991,0.00009878701299
"Argentina","ARG","Soybean oil, soybean meal","1507;1208","2022-03-19 00:00:00","2022-12-31 00:00:00",2022,"Tax","Argentina has raised the export tax rate on soy oil and meal by two percentage points to 33% until the end of the year in a bid to combat domestic inflation, the government said in the official gazette on Saturday","https://www.reuters.com/article/grains-argentina/update-2-argentina-hikes-export-tax-on-soy-oil-meal-to-33-to-combat-inflation-idUKL2N2VM096","https://www.diariodebatepregon.com/argentina-y-el-mundo/el-gobierno-reabrio-las-exportaciones-de-harina-y-aceite-de-soja",,0.1189092109,0.1103922157,0.4130239629,0.3990729002,0.009591852199,0.003889444039
"Egypt","EGY","vegetable oil, grits, maize","1507;1005","2022-03-12 00:00:00","2022-06-12 00:00:00",2022,"Ban","Minister of Trade and Industry Nevine Gamea has issued a decree stopping the export of all kinds of oil, grits and corn for a period of three months, as of its publication date in the official gazette","http://www.mti.gov.eg/English/MediaCenter/News/Pages/MTI-suspends-export-of-oils,-grits,-corn-for-three-months.aspx",,,0.02651984576,0.009648840967,0.0008125309782,0.001420597488,0.0001156339332,0.0000542745011
"Kazakhstan","KAZ","Wheat, wheat flour","1001;1101","2022-04-19 00:00:00","2022-09-30 00:00:00",2022,"Ban","By the Russian Federation’s Government’s Decree No.362 of 14 March 2022, the temporary ban on the export of wheat and meslin, rye, barley and corn from the Russian Federation was introduced from 15 March to 30 June 2022","https://asiaplustj.info/ru/node/310375","https://rus.azattyq.org/a/31807158.html",,0.6868034136,0.5326951308,0.03947515751,0.0317855561,0.006259017637,0.001365841424
"Ghana","GHA","Maize, soybean","1005;1201","2022-04-11 00:00:00","2022-10-20 00:00:00",2022,"Ban","The government has restricted the export from the country of maize and soya beans, two important commodities in the poultry sub-sector","http://www.businessghana.com/site/news/general/260507/Govt-restricts-maize%2C-soya-beans-exports","https://www.ghanaweb.com/GhanaHomePage/business/Government-extends-ban-on-exportation-of-rice-maize-soybeans-1541141",,0.003996409245,0.001269269842,0.00003012158874,0.00005458407636,0.00000734625697,0.000004856723571
"Russia","RUS","Wheat, barley, corn","1001;1003;1005","2022-04-13 00:00:00","2022-12-31 00:00:00",2022,"Tax","Russia has hiked up the tax on wheat exports to $101.4 per from April 13 to 19, the country’s Ministry of Agriculture announced on Friday","https://www.rt.com/business/553536-russia-ups-wheat-export-tax/",,,0.7222643255,0.5144835312,0.1348955096,0.1319424734,0.03933597222,0.009722485788
"Tunisia","TUN","Fruits, vegetables","0701;0702;0703;0704;0705;0706;0707;0708;0709;0710;0711;0712;0713;0714;0804;0805;0806;0807;0808;0809;0810;0811;0812;0813","2022-04-12 00:00:00","2022-12-31 00:00:00",2022,"Ban","The Tunisian government has banned the export of fresh vegetables and fruits to all foreign destinations in order to combat scarcity in the local market and adjust prices after recording high in their prices since the beginning of the month of Ramadan.","https://www.alaraby.co.uk/economy/%D8%AA%D9%88%D9%86%D8%B3-%D8%AA%D9%85%D9%86%D8%B9-%D9%85%D8%A4%D9%82%D8%AA%D8%A7%D9%8B-%D8%AA%D8%B5%D8%AF%D9%8A%D8%B1-%D8%A7%D9%84%D8%AE%D8%B6%D8%B1-%D9%88%D8%A7%D9%84%D9%81%D9%88%D8%A7%D9%83%D9%87","https://sports.yahoo.com/tunisia-suspends-vegetable-exports-cut-152441457.html",,0.05165902042,0.2478283853,0.001874524331,0.003073493043,0.00005967627848,0.000395919028
"Belarus","BLR","Wheat, rye, barley, oats, corn, buckwheat, millet, triticale, rapeseed seeds, sunflower seeds, beet pulp, cake, rapeseed meal","1001;1002;1003;1004;1005;1008;1205;1206","2022-04-13 00:00:00","2022-12-31 00:00:00",2022,"Licensing","Restrictions on the export of certain types of food products have been introduced in Belarus. They will affect flour, cereals, pasta, salt, sugar, canned food and more. This was reported in the Council of Ministers","https://bdg.by/news/society/v-belarusi-vveli-novye-ogranicheniya-na-vyvoz-produktov","https://www.kommersant.ru/doc/5447157","ARM;BLR;KGZ;KAZ;RUS",0.0301703149,0.004262860457,0.0002199316029,0.0001950682881,0.00006920501137,0.00001646548451
"Burkina Faso","BFA","Millet flour, corn flour, sorghum flour",1102,"2022-02-23 00:00:00","2022-12-31 00:00:00",2022,"Ban","On 23 February 2022, the Government of Burkina Faso announced a ban on exports of millet, maize and sorghum flours.","https://www.fao.org/giews/food-prices/food-policies/detail/en/c/1492066/",,,0.0002308684871,0.0001141997145,0.00009915540168,0.00006825030298,1.186944184e-7,4.932350275e-8
"Cameroon","CMR","Cereals, vegetable oils","1001;1002;1003;1004;1005;1006;1007;1008","2021-12-27 00:00:00","2022-12-31 00:00:00",2022,"Ban","On 27 December 2021, Cameroon’s Customs Department issued a memorandum announcing the immediate temporary suspension of exports of locally produced cereals and vegetable oils. The measure is intended to curb price increases and ensure adequate supplies of these staple commodities in the domestic market.","https://www.fao.org/giews/food-prices/food-policies/detail/en/c/1471656/",,,0.03611800216,0.007979250202,0.00004447567064,0.00009100231137,0.00001508089403,0.000008990822819
"Indonesia","IDN","Palm oil, palm kernal oil","1511;1513","2022-03-18 00:00:00","2022-07-16 00:00:00",2022,"Tax","Indonesia will remove export volume restrictions on palm oil products and raise its export levy instead, its trade minister said on Thursday, in a surprise policy U-turn just a week after it shocked markets by further tightening its curbs","https://www.reuters.com/article/indonesia-palmoil-idUSKCN2LE0O3","https://www.reuters.com/markets/commodities/indonesia-cut-maximum-palm-oil-export-tax-levy-combined-488t-trade-minister-2022-06-07/; https://www.nasdaq.com/articles/indonesia-lowers-july-crude-palm-oil-reference-price-official",,0.8119512048,0.6087968742,0.5461264215,0.5168385347,0.05456483539,0.01809929604
"Turkey","TUR","Butter",405,"2022-04-15 00:00:00","2022-09-30 00:00:00",2022,"Ban","According to Habertürk, a ban has been imposed on the export of butter to all countries except Azerbaijan","https://1news.az/news/20220415051431235-Turtsiya-ogranichila-eksport-slivochnogo-masla-vo-vse-strany-za-isklyucheniem-Azerbaidzhana","https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Update%20on%20Turkey%27s%20Export%20Ban%20on%20Select%20Ag%20Products_Ankara_Turkey_TU2022-0033.pdf","AZE",0.0004576551091,0.0009004238348,0.003886672647,0.003253037328,0.000004839225929,0.00001446481844
"Russia","RUS","Sunflower oil, sunflower meal","1512;2306","2022-04-15 00:00:00","2022-12-31 00:00:00",2022,"Tax","Russian May duty on sunoil added 19% to a maximum of $372.20/mt","https://www.agricensus.com/Article/Russian-May-duty-on-sunoil-added-19-to-a-maximum-of-372-20-mt-21706.html",,,0.08741555166,0.09920423385,0.1245035939,0.1366039543,0.00476082729,0.001874718422
"Pakistan","PAK","Sugar","1701;1702","2022-04-15 00:00:00","2022-12-31 00:00:00",2022,"Ban","The federal government has announced to ban the export of sugar, saying the ban would drop sugar prices and provide relief to the people. This decision was made in the session chaired by Prime Minister Shahbaz Shareef. The government claims that the export ban would lessen the prices and provide relief to the people.","https://pakobserver.net/govt-bans-sugar-export-to-lessen-price/","https://arynews.tv/federal-government-bans-sugar-export/",,0.1448581121,0.1016274632,0.01924621177,0.01689397008,0.00120982824,0.0005426378874
"Indonesia","IDN","Palm oil, palm kernel oil","1511;1513","2022-04-28 00:00:00","2022-05-22 00:00:00",2022,"Ban","Indonesia, the world's top palm oil producer, announced plans to ban exports of the most widely used vegetable oil on Friday, in a shock move that could further inflame surging global food inflation","https://www.reuters.com/world/asia-pacific/indonesia-ban-palm-oil-exports-shore-up-supply-soyoil-futures-surge-2022-04-22/","https://www.bloomberg.com/news/articles/2022-05-19/indonesia-lifts-palm-oil-export-ban-in-relief-to-global-market",,0.8119512048,0.6087968742,0.5461264215,0.5168385347,0.05456483539,0.01809929604
"Ghana","GHA","Maize, rice","1005;1006","2022-04-26 00:00:00","2022-10-20 00:00:00",2022,"Ban","The Ministry of Trade and Industry has extended a ban on exportation of soya bean and other grains such as maize, and rice for the next six-months","https://www.myjoyonline.com/the-broken-chain-trade-and-industry-ministry-extends-ban-on-exportation-of-soya-bean-other-grains//","https://www.ghanaweb.com/GhanaHomePage/business/Government-extends-ban-on-exportation-of-rice-maize-soybeans-1541141",,0.001387485502,0.0001106117063,0.00001619362978,0.000008272277712,0.000002550495812,4.232437134e-7
